"","OTU","Sample","Abundance","collection_date","host_disease","sample_type","author","host_subtype","Collection","Kingdom","Phylum"
"109","ASV1","SRR11944210",7092,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"13","ASV1","SRR11944140",6774,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"79","ASV1","SRR11944196",6354,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"208","ASV11","SRR11944247",6338,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"93","ASV1","SRR11944177",6300,"2017-03","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"147","ASV11","SRR11944140",6255,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"166","ASV11","SRR11944210",6187,"2018-01","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"158","ASV11","SRR11944178",6062,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Firmicutes"
"9","ASV1","SRR11944170",5984,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Bacteroidota"
"718","ASV3","SRR11944248",5860,"2017-08","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"665","ASV3","SRR11944171",5723,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"730","ASV3","SRR11944249",5606,"2017-06","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"713","ASV3","SRR11944149",5176,"2017-09","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"64","ASV1","SRR11944216",5169,"2018-04","Healthy","stool","Fukui","HC","1st","Bacteria","Bacteroidota"
"762","ASV3","SRR11944198",5055,"2017-07","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"675","ASV3","SRR11944221",4795,"2018-03","Healthy","stool","Fukui","HC","1st","Bacteria","Actinobacteriota"
"729","ASV3","SRR11944157",4641,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
"625","ASV27","SRR11944178",4638,"2017-12","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Proteobacteria"
"759","ASV3","SRR11944228",4599,"2017-10","IBS","stool","Fukui","IBS-unspecified","1st","Bacteria","Actinobacteriota"
