"","OTU","Sample","Abundance","host_disease","host_subtype","sample_type","author","Collection","Kingdom","Phylum"
"177","ASV321","SRR7282483",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"178","ASV321","SRR7282485",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"179","ASV321","SRR7282486",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"180","ASV321","SRR7282482",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Synergistota"
"211","ASV746","SRR7282522",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"212","ASV746","SRR7282508",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"213","ASV746","SRR7282518",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"214","ASV746","SRR7282523",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"215","ASV746","SRR7282504",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"216","ASV746","SRR7282509",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"217","ASV746","SRR7282519",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"219","ASV746","SRR7282490",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"220","ASV746","SRR7282505",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"221","ASV746","SRR7282510",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"222","ASV746","SRR7282524",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"223","ASV746","SRR7282486",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"224","ASV746","SRR7282491",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"225","ASV746","SRR7282506",0,"IBS","IBS-D","stool","Zhuang","1st","Bacteria","Cyanobacteria"
"226","ASV746","SRR7282520",0,"Healthy","HC","stool","Zhuang","1st","Bacteria","Cyanobacteria"
